No.,Location,ID,위험정도,일반영상,열화상영상,레이블영상,주소
79,wadong-dong,2,1,RGB78,THR78,LAB78,경기 파주시 와동동 1502
80,wadong-dong,2,1,RGB79,THR79,LAB79,경기 파주시 와동동 1502
81,wadong-dong,2,1,RGB80,THR80,LAB80,경기 파주시 와동동 1502
82,wadong-dong,2,1,RGB81,THR81,LAB81,경기 파주시 와동동 1502
83,wadong-dong,2,1,RGB82,THR82,LAB82,경기 파주시 와동동 1502
84,wadong-dong,2,1,RGB83,THR83,LAB83,경기 파주시 와동동 1502
85,wadong-dong,2,1,RGB84,THR84,LAB84,경기 파주시 와동동 1502
86,wadong-dong,2,1,RGB85,THR85,LAB85,경기 파주시 와동동 1502
87,wadong-dong,2,1,RGB86,THR86,LAB86,경기 파주시 와동동 1502
88,wadong-dong,2,1,RGB87,THR87,LAB87,경기 파주시 와동동 1502
89,wadong-dong,2,0,RGB88,THR88,LAB88,경기 파주시 와동동 1502
90,wadong-dong,2,1,RGB89,THR89,LAB89,경기 파주시 와동동 1502
91,wadong-dong,2,1,RGB90,THR90,LAB90,경기 파주시 와동동 1502
92,wadong-dong,2,1,RGB91,THR91,LAB91,경기 파주시 와동동 1502
93,wadong-dong,2,0,RGB92,THR92,LAB92,경기 파주시 와동동 1502
94,wadong-dong,2,0,RGB93,THR93,LAB93,경기 파주시 와동동 1502
95,wadong-dong,2,1,RGB94,THR94,LAB94,경기 파주시 와동동 1502
96,wadong-dong,2,1,RGB95,THR95,LAB95,경기 파주시 와동동 1502
97,wadong-dong,2,1,RGB96,THR96,LAB96,경기 파주시 와동동 1502
98,wadong-dong,2,0,RGB97,THR97,LAB97,경기 파주시 와동동 1502
99,wadong-dong,2,0,RGB98,THR98,LAB98,경기 파주시 와동동 1502
100,wadong-dong,2,0,RGB99,THR99,LAB99,경기 파주시 와동동 1502
101,wadong-dong,2,0,RGB100,THR100,LAB100,경기 파주시 와동동 1502
102,wadong-dong,2,0,RGB101,THR101,LAB101,경기 파주시 와동동 1502
103,wadong-dong,2,1,RGB102,THR102,LAB102,경기 파주시 와동동 1502
104,wadong-dong,2,1,RGB103,THR103,LAB103,경기 파주시 와동동 1502
105,wadong-dong,2,1,RGB104,THR104,LAB104,경기 파주시 와동동 1502
106,wadong-dong,2,1,RGB105,THR105,LAB105,경기 파주시 와동동 1502
107,wadong-dong,2,1,RGB106,THR106,LAB106,경기 파주시 와동동 1502
108,wadong-dong,2,1,RGB107,THR107,LAB107,경기 파주시 와동동 1502
109,wadong-dong,2,1,RGB108,THR108,LAB108,경기 파주시 와동동 1502
110,wadong-dong,2,0,RGB109,THR109,LAB109,경기 파주시 와동동 1502
111,wadong-dong,2,1,RGB110,THR110,LAB110,경기 파주시 와동동 1502
112,wadong-dong,2,1,RGB111,THR111,LAB111,경기 파주시 와동동 1502
113,wadong-dong,2,1,RGB112,THR112,LAB112,경기 파주시 와동동 1502
114,wadong-dong,2,1,RGB113,THR113,LAB113,경기 파주시 와동동 1502
115,wadong-dong,2,0,RGB114,THR114,LAB114,경기 파주시 와동동 1502
116,wadong-dong,2,0,RGB115,THR115,LAB115,경기 파주시 와동동 1502
117,wadong-dong,2,1,RGB116,THR116,LAB116,경기 파주시 와동동 1502
118,wadong-dong,2,1,RGB117,THR117,LAB117,경기 파주시 와동동 1502
119,wadong-dong,2,1,RGB118,THR118,LAB118,경기 파주시 와동동 1502
120,wadong-dong,2,0,RGB119,THR119,LAB119,경기 파주시 와동동 1502
121,wadong-dong,2,1,RGB120,THR120,LAB120,경기 파주시 와동동 1502
122,wadong-dong,2,1,RGB121,THR121,LAB121,경기 파주시 와동동 1502
123,wadong-dong,2,1,RGB122,THR122,LAB122,경기 파주시 와동동 1502
124,wadong-dong,2,1,RGB123,THR123,LAB123,경기 파주시 와동동 1502
125,wadong-dong,2,1,RGB124,THR124,LAB124,경기 파주시 와동동 1502
126,wadong-dong,2,1,RGB125,THR125,LAB125,경기 파주시 와동동 1502
127,wadong-dong,2,1,RGB126,THR126,LAB126,경기 파주시 와동동 1502
128,wadong-dong,2,0,RGB127,THR127,LAB127,경기 파주시 와동동 1502
129,wadong-dong,3,1,RGB128,THR128,LAB128,경기 파주시 와동동 1486
130,wadong-dong,3,1,RGB129,THR129,LAB129,경기 파주시 와동동 1486
131,wadong-dong,3,1,RGB130,THR130,LAB130,경기 파주시 와동동 1486
132,wadong-dong,3,1,RGB131,THR131,LAB131,경기 파주시 와동동 1486
133,wadong-dong,3,1,RGB132,THR132,LAB132,경기 파주시 와동동 1486
134,wadong-dong,3,1,RGB133,THR133,LAB133,경기 파주시 와동동 1486
135,wadong-dong,3,1,RGB134,THR134,LAB134,경기 파주시 와동동 1486
136,wadong-dong,3,1,RGB135,THR135,LAB135,경기 파주시 와동동 1486
137,wadong-dong,3,1,RGB136,THR136,LAB136,경기 파주시 와동동 1486
138,wadong-dong,3,1,RGB137,THR137,LAB137,경기 파주시 와동동 1486
139,wadong-dong,3,1,RGB138,THR138,LAB138,경기 파주시 와동동 1486
140,wadong-dong,3,1,RGB139,THR139,LAB139,경기 파주시 와동동 1486
141,wadong-dong,3,1,RGB140,THR140,LAB140,경기 파주시 와동동 1486
142,wadong-dong,3,1,RGB141,THR141,LAB141,경기 파주시 와동동 1486
143,wadong-dong,3,1,RGB142,THR142,LAB142,경기 파주시 와동동 1486
144,wadong-dong,3,1,RGB143,THR143,LAB143,경기 파주시 와동동 1486
145,wadong-dong,3,1,RGB144,THR144,LAB144,경기 파주시 와동동 1486
146,wadong-dong,3,1,RGB145,THR145,LAB145,경기 파주시 와동동 1486
147,wadong-dong,3,1,RGB146,THR146,LAB146,경기 파주시 와동동 1486
148,wadong-dong,3,1,RGB147,THR147,LAB147,경기 파주시 와동동 1486
149,wadong-dong,3,1,RGB148,THR148,LAB148,경기 파주시 와동동 1486
150,wadong-dong,3,1,RGB149,THR149,LAB149,경기 파주시 와동동 1486
151,wadong-dong,3,1,RGB150,THR150,LAB150,경기 파주시 와동동 1486
152,wadong-dong,3,1,RGB151,THR151,LAB151,경기 파주시 와동동 1486
153,wadong-dong,3,1,RGB152,THR152,LAB152,경기 파주시 와동동 1486
154,wadong-dong,3,1,RGB153,THR153,LAB153,경기 파주시 와동동 1486
155,wadong-dong,3,1,RGB154,THR154,LAB154,경기 파주시 와동동 1486
156,wadong-dong,3,1,RGB155,THR155,LAB155,경기 파주시 와동동 1486
157,wadong-dong,3,1,RGB156,THR156,LAB156,경기 파주시 와동동 1486
158,wadong-dong,3,1,RGB157,THR157,LAB157,경기 파주시 와동동 1486
159,wadong-dong,3,1,RGB158,THR158,LAB158,경기 파주시 와동동 1486
160,wadong-dong,3,1,RGB159,THR159,LAB159,경기 파주시 와동동 1486
161,wadong-dong,3,1,RGB160,THR160,LAB160,경기 파주시 와동동 1486
162,wadong-dong,3,1,RGB161,THR161,LAB161,경기 파주시 와동동 1486
163,wadong-dong,3,2,RGB162,THR162,LAB162,경기 파주시 와동동 1486
164,wadong-dong,3,2,RGB163,THR163,LAB163,경기 파주시 와동동 1486
165,wadong-dong,3,2,RGB164,THR164,LAB164,경기 파주시 와동동 1486
166,wadong-dong,3,2,RGB165,THR165,LAB165,경기 파주시 와동동 1486
167,wadong-dong,3,2,RGB166,THR166,LAB166,경기 파주시 와동동 1486
168,wadong-dong,3,1,RGB167,THR167,LAB167,경기 파주시 와동동 1486
169,wadong-dong,3,2,RGB168,THR168,LAB168,경기 파주시 와동동 1486
170,wadong-dong,3,2,RGB169,THR169,LAB169,경기 파주시 와동동 1486
171,wadong-dong,3,2,RGB170,THR170,LAB170,경기 파주시 와동동 1486
172,wadong-dong,3,2,RGB171,THR171,LAB171,경기 파주시 와동동 1486
173,wadong-dong,3,2,RGB172,THR172,LAB172,경기 파주시 와동동 1486
174,wadong-dong,3,2,RGB173,THR173,LAB173,경기 파주시 와동동 1486
175,wadong-dong,3,2,RGB174,THR174,LAB174,경기 파주시 와동동 1486
176,wadong-dong,3,2,RGB175,THR175,LAB175,경기 파주시 와동동 1486
177,wadong-dong,3,2,RGB176,THR176,LAB176,경기 파주시 와동동 1486
178,wadong-dong,3,2,RGB177,THR177,LAB177,경기 파주시 와동동 1486
179,wadong-dong,3,2,RGB178,THR178,LAB178,경기 파주시 와동동 1486
180,wadong-dong,3,2,RGB179,THR179,LAB179,경기 파주시 와동동 1486
181,wadong-dong,3,2,RGB180,THR180,LAB180,경기 파주시 와동동 1486
182,wadong-dong,3,2,RGB181,THR181,LAB181,경기 파주시 와동동 1486
183,wadong-dong,3,2,RGB182,THR182,LAB182,경기 파주시 와동동 1486
184,wadong-dong,3,2,RGB183,THR183,LAB183,경기 파주시 와동동 1486
185,wadong-dong,3,1,RGB184,THR184,LAB184,경기 파주시 와동동 1486
186,wadong-dong,3,2,RGB185,THR185,LAB185,경기 파주시 와동동 1486
187,wadong-dong,3,2,RGB186,THR186,LAB186,경기 파주시 와동동 1486
188,wadong-dong,3,2,RGB187,THR187,LAB187,경기 파주시 와동동 1486
189,wadong-dong,3,1,RGB188,THR188,LAB188,경기 파주시 와동동 1486
190,wadong-dong,3,1,RGB189,THR189,LAB189,경기 파주시 와동동 1486
191,wadong-dong,3,1,RGB190,THR190,LAB190,경기 파주시 와동동 1486
192,wadong-dong,3,1,RGB191,THR191,LAB191,경기 파주시 와동동 1486
193,wadong-dong,3,1,RGB192,THR192,LAB192,경기 파주시 와동동 1486
194,wadong-dong,3,1,RGB193,THR193,LAB193,경기 파주시 와동동 1486
195,wadong-dong,4,0,RGB194,THR194,LAB194,경기 파주시 와동동 1486
196,wadong-dong,4,0,RGB195,THR195,LAB195,경기 파주시 와동동 1486
197,wadong-dong,4,0,RGB196,THR196,LAB196,경기 파주시 와동동 1486
198,wadong-dong,4,0,RGB197,THR197,LAB197,경기 파주시 와동동 1486
199,wadong-dong,4,0,RGB198,THR198,LAB198,경기 파주시 와동동 1486
200,wadong-dong,4,0,RGB199,THR199,LAB199,경기 파주시 와동동 1486
201,wadong-dong,4,0,RGB200,THR200,LAB200,경기 파주시 와동동 1486
202,wadong-dong,4,0,RGB201,THR201,LAB201,경기 파주시 와동동 1486
203,wadong-dong,4,0,RGB202,THR202,LAB202,경기 파주시 와동동 1486
204,wadong-dong,4,0,RGB203,THR203,LAB203,경기 파주시 와동동 1486
205,wadong-dong,4,0,RGB204,THR204,LAB204,경기 파주시 와동동 1486
206,wadong-dong,4,0,RGB205,THR205,LAB205,경기 파주시 와동동 1486
207,wadong-dong,4,0,RGB206,THR206,LAB206,경기 파주시 와동동 1486
208,wadong-dong,4,0,RGB207,THR207,LAB207,경기 파주시 와동동 1486
209,wadong-dong,4,0,RGB208,THR208,LAB208,경기 파주시 와동동 1486
210,wadong-dong,4,0,RGB209,THR209,LAB209,경기 파주시 와동동 1486
211,wadong-dong,4,0,RGB210,THR210,LAB210,경기 파주시 와동동 1486
212,wadong-dong,4,0,RGB211,THR211,LAB211,경기 파주시 와동동 1486
213,wadong-dong,4,0,RGB212,THR212,LAB212,경기 파주시 와동동 1486
214,wadong-dong,4,0,RGB213,THR213,LAB213,경기 파주시 와동동 1486
215,wadong-dong,4,0,RGB214,THR214,LAB214,경기 파주시 와동동 1486
216,wadong-dong,4,0,RGB215,THR215,LAB215,경기 파주시 와동동 1486
217,wadong-dong,4,0,RGB216,THR216,LAB216,경기 파주시 와동동 1486
218,wadong-dong,4,0,RGB217,THR217,LAB217,경기 파주시 와동동 1486
219,wadong-dong,4,0,RGB218,THR218,LAB218,경기 파주시 와동동 1486
220,wadong-dong,4,0,RGB219,THR219,LAB219,경기 파주시 와동동 1486
221,wadong-dong,4,0,RGB220,THR220,LAB220,경기 파주시 와동동 1486
222,wadong-dong,4,0,RGB221,THR221,LAB221,경기 파주시 와동동 1486
223,wadong-dong,4,0,RGB222,THR222,LAB222,경기 파주시 와동동 1486
224,wadong-dong,4,0,RGB223,THR223,LAB223,경기 파주시 와동동 1486
225,wadong-dong,4,0,RGB224,THR224,LAB224,경기 파주시 와동동 1486
226,wadong-dong,4,0,RGB225,THR225,LAB225,경기 파주시 와동동 1486
227,wadong-dong,4,0,RGB226,THR226,LAB226,경기 파주시 와동동 1486
228,wadong-dong,4,0,RGB227,THR227,LAB227,경기 파주시 와동동 1486
229,wadong-dong,4,0,RGB228,THR228,LAB228,경기 파주시 와동동 1486
230,wadong-dong,4,0,RGB229,THR229,LAB229,경기 파주시 와동동 1486
231,wadong-dong,4,0,RGB230,THR230,LAB230,경기 파주시 와동동 1486
232,wadong-dong,4,0,RGB231,THR231,LAB231,경기 파주시 와동동 1486
233,wadong-dong,4,0,RGB232,THR232,LAB232,경기 파주시 와동동 1486
234,wadong-dong,4,0,RGB233,THR233,LAB233,경기 파주시 와동동 1486
235,wadong-dong,4,0,RGB234,THR234,LAB234,경기 파주시 와동동 1486
236,wadong-dong,4,0,RGB235,THR235,LAB235,경기 파주시 와동동 1486
237,wadong-dong,4,0,RGB236,THR236,LAB236,경기 파주시 와동동 1486
238,wadong-dong,4,0,RGB237,THR237,LAB237,경기 파주시 와동동 1486
239,wadong-dong,4,0,RGB238,THR238,LAB238,경기 파주시 와동동 1486
240,wadong-dong,4,0,RGB239,THR239,LAB239,경기 파주시 와동동 1486
241,wadong-dong,4,0,RGB240,THR240,LAB240,경기 파주시 와동동 1486
242,wadong-dong,4,0,RGB241,THR241,LAB241,경기 파주시 와동동 1486
243,wadong-dong,4,0,RGB242,THR242,LAB242,경기 파주시 와동동 1486
244,wadong-dong,4,0,RGB243,THR243,LAB243,경기 파주시 와동동 1486
245,wadong-dong,4,0,RGB244,THR244,LAB244,경기 파주시 와동동 1486
246,wadong-dong,4,0,RGB245,THR245,LAB245,경기 파주시 와동동 1486
247,wadong-dong,4,0,RGB246,THR246,LAB246,경기 파주시 와동동 1486
248,wadong-dong,4,0,RGB247,THR247,LAB247,경기 파주시 와동동 1486
249,wadong-dong,4,0,RGB248,THR248,LAB248,경기 파주시 와동동 1486
250,wadong-dong,5,0,RGB249,THR249,LAB249,경기 파주시 와동동 1486
251,wadong-dong,5,0,RGB250,THR250,LAB250,경기 파주시 와동동 1486
252,wadong-dong,5,1,RGB251,THR251,LAB251,경기 파주시 와동동 1486
253,wadong-dong,5,1,RGB252,THR252,LAB252,경기 파주시 와동동 1486
254,wadong-dong,5,1,RGB253,THR253,LAB253,경기 파주시 와동동 1486
255,wadong-dong,5,1,RGB254,THR254,LAB254,경기 파주시 와동동 1486
256,wadong-dong,5,1,RGB255,THR255,LAB255,경기 파주시 와동동 1486
257,wadong-dong,5,1,RGB256,THR256,LAB256,경기 파주시 와동동 1486
258,wadong-dong,5,1,RGB257,THR257,LAB257,경기 파주시 와동동 1486
259,wadong-dong,5,1,RGB258,THR258,LAB258,경기 파주시 와동동 1486
260,wadong-dong,5,1,RGB259,THR259,LAB259,경기 파주시 와동동 1486
261,wadong-dong,5,1,RGB260,THR260,LAB260,경기 파주시 와동동 1486
262,wadong-dong,5,2,RGB261,THR261,LAB261,경기 파주시 와동동 1486
263,wadong-dong,5,2,RGB262,THR262,LAB262,경기 파주시 와동동 1486
264,wadong-dong,5,2,RGB263,THR263,LAB263,경기 파주시 와동동 1486
265,wadong-dong,5,2,RGB264,THR264,LAB264,경기 파주시 와동동 1486
266,wadong-dong,5,2,RGB265,THR265,LAB265,경기 파주시 와동동 1486
267,wadong-dong,5,2,RGB266,THR266,LAB266,경기 파주시 와동동 1486
268,wadong-dong,5,2,RGB267,THR267,LAB267,경기 파주시 와동동 1486
269,wadong-dong,5,2,RGB268,THR268,LAB268,경기 파주시 와동동 1486
270,wadong-dong,5,2,RGB269,THR269,LAB269,경기 파주시 와동동 1486
271,wadong-dong,5,0,RGB270,THR270,LAB270,경기 파주시 와동동 1486
272,wadong-dong,5,0,RGB271,THR271,LAB271,경기 파주시 와동동 1486
273,wadong-dong,5,0,RGB272,THR272,LAB272,경기 파주시 와동동 1486
274,wadong-dong,5,0,RGB273,THR273,LAB273,경기 파주시 와동동 1486
275,wadong-dong,5,0,RGB274,THR274,LAB274,경기 파주시 와동동 1486
276,wadong-dong,5,0,RGB275,THR275,LAB275,경기 파주시 와동동 1486
277,wadong-dong,5,0,RGB276,THR276,LAB276,경기 파주시 와동동 1486
278,wadong-dong,5,0,RGB277,THR277,LAB277,경기 파주시 와동동 1486
279,wadong-dong,5,1,RGB278,THR278,LAB278,경기 파주시 와동동 1486
280,wadong-dong,5,1,RGB279,THR279,LAB279,경기 파주시 와동동 1486
281,wadong-dong,5,2,RGB280,THR280,LAB280,경기 파주시 와동동 1486
282,wadong-dong,5,1,RGB281,THR281,LAB281,경기 파주시 와동동 1486
283,wadong-dong,5,1,RGB282,THR282,LAB282,경기 파주시 와동동 1486
284,wadong-dong,5,1,RGB283,THR283,LAB283,경기 파주시 와동동 1486
285,wadong-dong,5,0,RGB284,THR284,LAB284,경기 파주시 와동동 1486
286,wadong-dong,5,0,RGB285,THR285,LAB285,경기 파주시 와동동 1486
287,wadong-dong,5,1,RGB286,THR286,LAB286,경기 파주시 와동동 1486
288,wadong-dong,5,0,RGB287,THR287,LAB287,경기 파주시 와동동 1486
289,wadong-dong,5,1,RGB288,THR288,LAB288,경기 파주시 와동동 1486
290,wadong-dong,5,1,RGB289,THR289,LAB289,경기 파주시 와동동 1486
291,wadong-dong,5,1,RGB290,THR290,LAB290,경기 파주시 와동동 1486
292,wadong-dong,5,0,RGB291,THR291,LAB291,경기 파주시 와동동 1486
293,wadong-dong,5,0,RGB292,THR292,LAB292,경기 파주시 와동동 1486
294,wadong-dong,5,0,RGB293,THR293,LAB293,경기 파주시 와동동 1486
295,wadong-dong,5,0,RGB294,THR294,LAB294,경기 파주시 와동동 1486
296,wadong-dong,5,0,RGB295,THR295,LAB295,경기 파주시 와동동 1486
297,wadong-dong,5,0,RGB296,THR296,LAB296,경기 파주시 와동동 1486
298,wadong-dong,5,1,RGB297,THR297,LAB297,경기 파주시 와동동 1486
299,wadong-dong,5,1,RGB298,THR298,LAB298,경기 파주시 와동동 1486
300,wadong-dong,5,2,RGB299,THR299,LAB299,경기 파주시 와동동 1486
301,wadong-dong,5,2,RGB300,THR300,LAB300,경기 파주시 와동동 1486
302,wadong-dong,5,2,RGB301,THR301,LAB301,경기 파주시 와동동 1486
303,wadong-dong,5,1,RGB302,THR302,LAB302,경기 파주시 와동동 1486
304,wadong-dong,5,1,RGB303,THR303,LAB303,경기 파주시 와동동 1486
305,wadong-dong,5,1,RGB304,THR304,LAB304,경기 파주시 와동동 1486
306,wadong-dong,5,1,RGB305,THR305,LAB305,경기 파주시 와동동 1486
307,wadong-dong,5,1,RGB306,THR306,LAB306,경기 파주시 와동동 1486
308,wadong-dong,5,1,RGB307,THR307,LAB307,경기 파주시 와동동 1486
309,wadong-dong,5,2,RGB308,THR308,LAB308,경기 파주시 와동동 1486
310,wadong-dong,5,2,RGB309,THR309,LAB309,경기 파주시 와동동 1486
311,wadong-dong,5,1,RGB310,THR310,LAB310,경기 파주시 와동동 1486
312,wadong-dong,5,1,RGB311,THR311,LAB311,경기 파주시 와동동 1486
313,wadong-dong,5,0,RGB312,THR312,LAB312,경기 파주시 와동동 1486
314,wadong-dong,5,0,RGB313,THR313,LAB313,경기 파주시 와동동 1486
315,wadong-dong,5,0,RGB314,THR314,LAB314,경기 파주시 와동동 1486
316,wadong-dong,5,0,RGB315,THR315,LAB315,경기 파주시 와동동 1486
317,wadong-dong,5,0,RGB316,THR316,LAB316,경기 파주시 와동동 1486
318,wadong-dong,5,0,RGB317,THR317,LAB317,경기 파주시 와동동 1486
319,wadong-dong,5,0,RGB318,THR318,LAB318,경기 파주시 와동동 1486
320,wadong-dong,5,0,RGB319,THR319,LAB319,경기 파주시 와동동 1486
321,wadong-dong,5,0,RGB320,THR320,LAB320,경기 파주시 와동동 1486
322,wadong-dong,5,1,RGB321,THR321,LAB321,경기 파주시 와동동 1486
323,wadong-dong,5,1,RGB322,THR322,LAB322,경기 파주시 와동동 1486
324,wadong-dong,5,2,RGB323,THR323,LAB323,경기 파주시 와동동 1486
325,wadong-dong,5,0,RGB324,THR324,LAB324,경기 파주시 와동동 1486
326,wadong-dong,5,1,RGB325,THR325,LAB325,경기 파주시 와동동 1486
327,wadong-dong,5,1,RGB326,THR326,LAB326,경기 파주시 와동동 1486
328,wadong-dong,5,1,RGB327,THR327,LAB327,경기 파주시 와동동 1486
329,wadong-dong,5,1,RGB328,THR328,LAB328,경기 파주시 와동동 1486
330,wadong-dong,5,2,RGB329,THR329,LAB329,경기 파주시 와동동 1486
331,wadong-dong,5,2,RGB330,THR330,LAB330,경기 파주시 와동동 1486
332,wadong-dong,5,2,RGB331,THR331,LAB331,경기 파주시 와동동 1486
333,wadong-dong,5,2,RGB332,THR332,LAB332,경기 파주시 와동동 1486
334,wadong-dong,5,1,RGB333,THR333,LAB333,경기 파주시 와동동 1486
335,wadong-dong,5,2,RGB334,THR334,LAB334,경기 파주시 와동동 1486
336,wadong-dong,5,2,RGB335,THR335,LAB335,경기 파주시 와동동 1486
337,wadong-dong,5,1,RGB336,THR336,LAB336,경기 파주시 와동동 1486
338,wadong-dong,5,2,RGB337,THR337,LAB337,경기 파주시 와동동 1486
339,wadong-dong,5,2,RGB338,THR338,LAB338,경기 파주시 와동동 1486
